コード,銘柄名,市場,終値,前日比,スコア,流入開始,経過日,時価総額,蓄積,出来高質,収縮放れ,転換,乖離率,状態,初動,監視,スキャン日時
1301,極洋,プライム,4505.0,-0.22,32.0,07/07,4.0,535,0.0,0.0,20.0,12.0,3.2,様子見,False,False,2026-07-12 14:51
1332,ニッスイ,プライム,1262.5,-1.41,38.0,06/26,11.0,3829,30.0,0.0,0.0,8.0,-1.2,蓄積+収縮 (監視推奨),False,True,2026-07-12 14:51
1333,Ｕｍｉｏｓ,プライム,1310.0,-0.57,52.0,06/09,24.0,1981,30.0,10.0,0.0,12.0,1.7,様子見,False,False,2026-07-12 14:51
1375,ユキグニファクトリー,プライム,1163.0,0.26,39.0,-,,464,17.0,15.0,0.0,7.0,4.2,様子見,False,False,2026-07-12 14:51
1377,サカタのタネ,プライム,4290.0,-0.81,84.0,05/19,39.0,1813,30.0,15.0,20.0,19.0,2.2,初動の可能性,True,True,2026-07-12 14:51
1379,ホクト,プライム,1915.0,-0.1,73.0,06/01,30.0,600,30.0,11.0,20.0,12.0,2.3,初動の可能性,True,False,2026-07-12 14:51
1414,ショーボンドホールディングス,プライム,1264.0,-0.47,32.0,-,,2540,0.0,0.0,20.0,12.0,1.4,様子見,False,False,2026-07-12 14:51
1417,ミライト・ワン,プライム,3750.0,0.08,8.0,-,,3297,0.0,0.0,0.0,8.0,-2.5,収縮中 (監視),False,False,2026-07-12 14:51
1419,タマホーム,プライム,3020.0,0.17,18.0,-,,875,0.0,0.0,0.0,18.0,4.2,様子見,False,False,2026-07-12 14:51
1429,日本アクア,プライム,749.0,0.27,35.0,-,,241,0.0,11.0,12.0,12.0,2.7,収縮中 (監視),False,False,2026-07-12 14:51
1433,ベステラ,プライム,1148.0,1.32,39.0,-,,102,12.0,6.0,12.0,9.0,1.9,収縮中 (監視),False,False,2026-07-12 14:51
1515,日鉄鉱業,プライム,2417.0,3.11,36.0,-,,1902,0.0,11.0,0.0,25.0,0.1,収縮中 (監視),False,False,2026-07-12 14:51
1518,三井松島ホールディングス,プライム,1554.0,0.45,24.0,-,,575,17.0,0.0,0.0,7.0,3.7,様子見,False,False,2026-07-12 14:51
1605,ＩＮＰＥＸ,プライム,3361.0,-1.93,37.0,-,,39061,0.0,0.0,12.0,25.0,-0.2,収縮中 (監視),False,False,2026-07-12 14:51
1662,石油資源開発,プライム,1661.0,-1.37,43.0,-,,4252,0.0,4.0,20.0,19.0,1.3,収縮中 (監視),False,False,2026-07-12 14:51
1663,Ｋ＆Ｏエナジーグループ,プライム,1846.0,0.87,6.0,-,,986,0.0,0.0,0.0,6.0,-3.3,収縮中 (監視),False,False,2026-07-12 14:51
166A,タスキホールディングス,プライム,1100.0,-0.27,20.0,-,,679,12.0,0.0,0.0,8.0,-1.1,様子見,False,False,2026-07-12 14:51
167A,リョーサン菱洋ホールディングス,プライム,2802.0,1.89,48.0,-,,1124,0.0,11.0,12.0,25.0,2.4,収縮中 (監視),False,False,2026-07-12 14:51
1719,安藤・間,プライム,1813.0,-0.6,32.0,-,,2844,0.0,0.0,20.0,12.0,1.9,収縮中 (監視),False,False,2026-07-12 14:51
1720,東急建設,プライム,1193.0,-0.17,36.0,07/07,4.0,1268,0.0,6.0,12.0,18.0,1.6,収縮中 (監視),False,False,2026-07-12 14:51
1721,コムシスホールディングス,プライム,5332.0,-0.11,4.0,-,,6160,0.0,4.0,0.0,0.0,-1.5,収縮中 (監視),False,False,2026-07-12 14:51
1762,高松コンストラクショングループ,プライム,3620.0,0.0,24.0,-,,1260,0.0,0.0,12.0,12.0,2.8,収縮中 (監視),False,False,2026-07-12 14:51
1766,東建コーポレーション,プライム,12980.0,-0.69,12.0,-,,1441,0.0,0.0,0.0,12.0,3.1,様子見,False,False,2026-07-12 14:51
1780,ヤマウラ,プライム,1492.0,0.81,38.0,06/25,12.0,278,12.0,19.0,0.0,7.0,5.3,様子見,False,False,2026-07-12 14:51
1786,オリエンタル白石,プライム,361.0,0.84,15.2,-,,464,12.0,19.0,0.0,7.0,6.6,過熱 (初動ではない),False,False,2026-07-12 14:51
1801,大成建設,プライム,13950.0,-0.71,0.0,-,,22740,0.0,0.0,0.0,0.0,-1.9,収縮中 (監視),False,False,2026-07-12 14:51
1802,大林組,プライム,3225.0,-0.74,43.0,06/26,11.0,22169,22.0,6.0,0.0,15.0,0.3,蓄積+収縮 (監視推奨),False,True,2026-07-12 14:51
1803,清水建設,プライム,2492.5,0.02,14.0,-,,16929,0.0,0.0,0.0,14.0,-1.8,収縮中 (監視),False,False,2026-07-12 14:51
1808,長谷工コーポレーション,プライム,2788.5,0.27,24.0,-,,7380,12.0,0.0,0.0,12.0,1.1,様子見,False,False,2026-07-12 14:51
1812,鹿島建設,プライム,5760.0,-0.95,35.0,07/10,1.0,26571,30.0,0.0,0.0,5.0,-1.2,蓄積+収縮 (監視推奨),False,True,2026-07-12 14:51
1813,不動テトラ,プライム,2715.0,-0.73,15.0,-,,411,0.0,0.0,0.0,15.0,0.8,様子見,False,False,2026-07-12 14:51
1814,大末建設,プライム,3525.0,0.57,5.6,-,,363,0.0,7.0,0.0,7.0,7.3,過熱 (初動ではない),False,False,2026-07-12 14:51
1815,鉄建建設,プライム,4520.0,-0.22,38.0,-,,630,0.0,7.0,12.0,19.0,1.6,収縮中 (監視),False,False,2026-07-12 14:51
1820,西松建設,プライム,5368.0,-0.67,38.0,07/01,8.0,2120,0.0,4.0,12.0,22.0,0.5,収縮中 (監視),False,False,2026-07-12 14:51
1833,奥村組,プライム,5650.0,-1.22,40.0,07/07,4.0,2027,22.0,4.0,0.0,14.0,-0.2,蓄積+収縮 (監視推奨),False,True,2026-07-12 14:51
1835,東鉄工業,プライム,4215.0,-0.12,18.0,07/07,4.0,1452,0.0,0.0,0.0,18.0,0.6,収縮中 (監視),False,False,2026-07-12 14:51
1852,淺沼組,プライム,853.0,0.24,30.0,-,,689,12.0,6.0,0.0,12.0,3.0,様子見,False,False,2026-07-12 14:51
1860,戸田建設,プライム,1558.0,-1.92,0.0,-,,4612,0.0,0.0,0.0,0.0,-2.1,収縮中 (監視),False,False,2026-07-12 14:51
1861,熊谷組,プライム,1484.0,-0.27,22.0,-,,2522,0.0,10.0,0.0,12.0,5.3,様子見,False,False,2026-07-12 14:51
1870,矢作建設工業,プライム,1862.0,-0.05,38.0,-,,804,0.0,0.0,20.0,18.0,1.7,収縮中 (監視),False,False,2026-07-12 14:51
1871,ピーエス・コンストラクション,プライム,2163.0,-0.55,6.0,-,,1013,0.0,0.0,0.0,6.0,-2.2,収縮中 (監視),False,False,2026-07-12 14:51
1873,日本ハウスホールディングス,プライム,311.0,0.97,31.0,-,,124,12.0,0.0,12.0,7.0,2.8,収縮中 (監視),False,False,2026-07-12 14:51
1878,大東建託,プライム,3161.0,-0.13,47.0,07/06,5.0,10287,12.0,0.0,20.0,15.0,3.0,様子見,False,False,2026-07-12 14:51
1879,新日本建設,プライム,2094.0,0.62,0.0,07/03,6.0,1225,0.0,0.0,0.0,0.0,-2.5,様子見,False,False,2026-07-12 14:51
1882,東亜道路工業,プライム,1586.0,0.19,39.0,-,,733,5.0,7.0,20.0,7.0,3.3,様子見,False,False,2026-07-12 14:51
1885,東亜建設工業,プライム,2045.0,-0.1,14.0,-,,1581,0.0,0.0,0.0,14.0,-4.1,様子見,False,False,2026-07-12 14:51
1887,日本国土開発,プライム,539.0,0.94,42.0,-,,430,0.0,0.0,20.0,22.0,2.2,収縮中 (監視),False,False,2026-07-12 14:51
1888,若築建設,プライム,3380.0,2.27,46.0,07/07,4.0,430,0.0,4.0,20.0,22.0,3.3,収縮中 (監視),False,False,2026-07-12 14:51
1893,五洋建設,プライム,1628.0,-0.37,25.0,-,,4423,0.0,0.0,0.0,25.0,-4.5,収縮中 (監視),False,False,2026-07-12 14:51
1898,世紀東急工業,プライム,1468.0,-0.68,66.0,06/22,15.0,538,30.0,4.0,20.0,12.0,1.9,初動の可能性,True,False,2026-07-12 14:51
1899,福田組,プライム,3760.0,1.62,71.0,07/06,5.0,623,30.0,4.0,12.0,25.0,0.9,初動の可能性,True,True,2026-07-12 14:51
1911,住友林業,プライム,1321.0,0.0,27.0,07/09,2.0,8100,22.0,0.0,0.0,5.0,-0.2,様子見,False,False,2026-07-12 14:51
1925,大和ハウス工業,プライム,4506.0,-0.31,39.0,-,,27908,12.0,15.0,0.0,12.0,2.5,様子見,False,False,2026-07-12 14:51
1926,ライト工業,プライム,4045.0,0.0,13.0,-,,1661,0.0,4.0,0.0,9.0,0.3,収縮中 (監視),False,False,2026-07-12 14:51
1928,積水ハウス,プライム,3455.0,-0.58,12.0,-,,22397,0.0,0.0,0.0,12.0,3.4,様子見,False,False,2026-07-12 14:51
1929,日特建設,プライム,1127.0,0.71,42.0,-,,471,0.0,10.0,20.0,12.0,1.9,収縮中 (監視),False,False,2026-07-12 14:51
1930,北陸電気工事,プライム,1632.0,0.18,22.0,-,,449,0.0,6.0,0.0,16.0,-1.8,収縮中 (監視),False,False,2026-07-12 14:51
1934,ユアテック,プライム,2401.0,-0.87,15.0,07/08,3.0,1649,0.0,0.0,0.0,15.0,0.2,収縮中 (監視),False,False,2026-07-12 14:51
1938,日本リーテック,プライム,2578.0,0.62,16.0,07/07,4.0,639,0.0,0.0,0.0,16.0,-4.9,様子見,False,False,2026-07-12 14:51
1939,四電工,プライム,2000.0,0.6,24.0,-,,947,12.0,0.0,0.0,12.0,0.8,収縮中 (監視),False,False,2026-07-12 14:51
1941,中電工,プライム,5180.0,-0.58,17.0,-,,2742,12.0,0.0,0.0,5.0,-3.0,収縮中 (監視),False,False,2026-07-12 14:51
1942,関電工,プライム,6351.0,-0.49,11.0,-,,12639,0.0,11.0,0.0,0.0,-1.8,収縮中 (監視),False,False,2026-07-12 14:51
1944,きんでん,プライム,7634.0,-0.88,28.0,-,,15114,12.0,11.0,0.0,5.0,-0.9,収縮中 (監視),False,False,2026-07-12 14:51
1945,東京エネシス,プライム,2054.0,-0.1,0.0,-,,681,0.0,0.0,0.0,0.0,-7.8,様子見,False,False,2026-07-12 14:51
1946,トーエネック,プライム,2187.0,-1.17,17.0,-,,2030,0.0,4.0,0.0,13.0,-0.6,収縮中 (監視),False,False,2026-07-12 14:51
1950,日本電設工業,プライム,4160.0,-1.42,8.0,-,,2428,0.0,0.0,0.0,8.0,-4.9,収縮中 (監視),False,False,2026-07-12 14:51
1951,エクシオグループ,プライム,2683.5,0.32,24.0,07/06,5.0,5464,18.0,6.0,0.0,0.0,-2.9,様子見,False,False,2026-07-12 14:51
1952,新日本空調,プライム,3580.0,-0.83,25.0,-,,1627,12.0,4.0,0.0,9.0,0.0,収縮中 (監視),False,False,2026-07-12 14:51
1959,クラフティア,プライム,8800.0,-0.93,8.0,-,,6225,0.0,0.0,0.0,8.0,-4.0,様子見,False,False,2026-07-12 14:51
1961,三機工業,プライム,2650.0,-0.64,9.0,-,,4048,0.0,4.0,0.0,5.0,-5.0,様子見,False,False,2026-07-12 14:51
1963,日揮ホールディングス,プライム,2335.5,0.04,4.0,-,,5648,0.0,4.0,0.0,0.0,-8.4,様子見,False,False,2026-07-12 14:51
1964,中外炉工業,プライム,4050.0,1.25,31.0,-,,283,0.0,0.0,12.0,19.0,0.5,収縮中 (監視),False,False,2026-07-12 14:51
1968,太平電業,プライム,2529.0,0.44,47.0,07/06,5.0,1596,30.0,0.0,0.0,17.0,-2.8,蓄積+収縮 (監視推奨),False,True,2026-07-12 14:51
1969,高砂熱学工業,プライム,4795.0,0.02,35.0,07/10,1.0,6275,30.0,0.0,0.0,5.0,-2.1,様子見,False,False,2026-07-12 14:51
1975,朝日工業社,プライム,4450.0,-0.34,52.0,07/10,1.0,1151,12.0,19.0,12.0,9.0,3.9,収縮中 (監視),False,False,2026-07-12 14:51
1976,明星工業,プライム,1837.0,0.11,38.0,-,,843,17.0,0.0,12.0,9.0,2.4,収縮中 (監視),False,False,2026-07-12 14:51
1979,大氣社,プライム,4785.0,2.9,32.0,-,,3015,12.0,4.0,0.0,16.0,0.6,収縮中 (監視),False,False,2026-07-12 14:51
1980,ダイダン,プライム,2774.0,-0.64,15.0,-,,3589,0.0,6.0,0.0,9.0,1.1,収縮中 (監視),False,False,2026-07-12 14:51
1982,日比谷総合設備,プライム,2965.0,-3.1,34.0,05/22,36.0,1224,30.0,4.0,0.0,0.0,-3.3,蓄積+収縮 (監視推奨),False,True,2026-07-12 14:51
2001,ニップン,プライム,2810.0,-1.26,28.0,-,,2323,12.0,4.0,0.0,12.0,2.2,様子見,False,False,2026-07-12 14:51
2002,日清製粉グループ本社,プライム,2003.5,-1.55,50.0,06/26,11.0,5605,12.0,6.0,20.0,12.0,1.8,様子見,False,False,2026-07-12 14:51
2004,昭和産業,プライム,3485.0,-0.57,58.0,07/03,6.0,1133,12.0,19.0,20.0,7.0,3.9,様子見,False,False,2026-07-12 14:51
2053,中部飼料,プライム,1907.0,-0.47,19.0,-,,547,12.0,0.0,0.0,7.0,3.9,様子見,False,False,2026-07-12 14:51
2060,フィード・ワン,プライム,1261.0,-0.16,44.0,-,,483,12.0,0.0,20.0,12.0,3.3,様子見,False,False,2026-07-12 14:51
2108,日本甜菜製糖,プライム,4720.0,-2.38,9.0,-,,555,0.0,0.0,0.0,9.0,1.2,様子見,False,False,2026-07-12 14:51
2109,ＤＭ三井製糖,プライム,3315.0,-0.9,42.0,07/07,4.0,1032,30.0,0.0,0.0,12.0,2.2,様子見,False,False,2026-07-12 14:51
2117,ウェルネオシュガー,プライム,2693.0,0.07,25.0,07/02,7.0,882,12.0,6.0,0.0,7.0,3.4,様子見,False,False,2026-07-12 14:51
2120,ＬＩＦＵＬＬ,プライム,204.0,2.51,36.0,07/01,8.0,262,0.0,15.0,14.0,7.0,5.1,様子見,False,False,2026-07-12 14:51
2121,ＭＩＸＩ,プライム,2933.0,0.27,9.2,-,,1910,12.0,4.0,0.0,7.0,7.9,過熱 (初動ではない),False,False,2026-07-12 14:51
2124,ジェイエイシーリクルートメント,プライム,874.0,0.23,48.0,06/29,10.0,1389,30.0,11.0,0.0,7.0,3.5,様子見,False,False,2026-07-12 14:51
2127,日本Ｍ＆Ａセンターホールディングス,プライム,676.7,0.03,39.0,-,,2147,12.0,15.0,0.0,12.0,4.6,様子見,False,False,2026-07-12 14:51
212A,フィットイージー,プライム,2688.0,-1.29,27.0,-,,449,12.0,6.0,0.0,9.0,1.8,様子見,False,False,2026-07-12 14:51
2130,メンバーズ,プライム,1129.0,3.67,22.8,-,,145,12.0,6.0,20.0,19.0,7.3,過熱 (初動ではない),False,False,2026-07-12 14:51
2146,ＵＴグループ,プライム,179.0,1.13,39.0,-,,1016,0.0,0.0,20.0,19.0,2.4,収縮中 (監視),False,False,2026-07-12 14:51
2148,アイティメディア,プライム,1182.0,0.85,18.0,07/07,4.0,230,0.0,0.0,0.0,18.0,1.9,様子見,False,False,2026-07-12 14:51
2153,Ｅ・Ｊホールディングス,プライム,1681.0,0.06,11.0,-,,302,0.0,4.0,0.0,7.0,4.2,様子見,False,False,2026-07-12 14:51
2154,オープンアップグループ,プライム,1942.0,0.05,19.0,-,,1650,12.0,0.0,0.0,7.0,3.6,様子見,False,False,2026-07-12 14:51
2157,コシダカホールディングス,プライム,970.0,0.0,19.0,-,,804,0.0,7.0,0.0,12.0,1.4,様子見,False,False,2026-07-12 14:51
2163,アルトナー,プライム,2025.0,0.25,30.0,-,,215,12.0,11.0,0.0,7.0,3.6,様子見,False,False,2026-07-12 14:51
2168,パソナグループ,プライム,1532.0,-0.33,42.0,-,,572,0.0,0.0,20.0,22.0,2.5,様子見,False,False,2026-07-12 14:51
2170,リンクアンドモチベーション,プライム,585.0,-0.17,16.0,07/06,5.0,624,22.0,11.0,0.0,7.0,6.2,過熱 (初動ではない),False,False,2026-07-12 14:51
2175,エス・エム・エス,プライム,2343.0,-0.51,10.4,-,,1923,12.0,7.0,0.0,7.0,9.9,過熱 (初動ではない),False,False,2026-07-12 14:51
2181,パーソルホールディングス,プライム,255.3,-0.74,12.0,-,,5695,0.0,0.0,0.0,12.0,3.4,様子見,False,False,2026-07-12 14:51
2198,アイ・ケイ・ケイホールディングス,プライム,738.0,0.14,22.0,-,,215,0.0,0.0,0.0,22.0,2.5,様子見,False,False,2026-07-12 14:51
2201,森永製菓,プライム,2656.0,-1.85,39.0,-,,2230,12.0,15.0,0.0,12.0,2.6,様子見,False,False,2026-07-12 14:51
2206,江崎グリコ,プライム,5185.0,-1.71,46.0,06/23,14.0,3179,30.0,0.0,0.0,16.0,-2.7,蓄積+収縮 (監視推奨),False,True,2026-07-12 14:51
2207,ｍｅｉｔｏ,プライム,3110.0,-2.96,35.0,-,,507,12.0,11.0,0.0,12.0,0.7,様子見,False,False,2026-07-12 14:51
2209,井村屋グループ,プライム,2394.0,0.25,25.0,-,,306,12.0,6.0,0.0,7.0,2.4,様子見,False,False,2026-07-12 14:51
2211,不二家,プライム,2434.0,-0.04,19.0,-,,627,12.0,0.0,0.0,7.0,3.1,様子見,False,False,2026-07-12 14:51
2212,山崎製パン,プライム,3176.0,-2.96,49.0,06/26,11.0,6254,22.0,15.0,0.0,12.0,0.2,様子見,False,False,2026-07-12 14:51
2217,モロゾフ,プライム,1560.0,0.32,7.0,-,,313,0.0,0.0,0.0,7.0,2.2,様子見,False,False,2026-07-12 14:51
2220,亀田製菓,プライム,1263.0,-2.02,59.0,07/07,4.0,799,30.0,10.0,0.0,19.0,2.3,様子見,False,False,2026-07-12 14:51
2222,寿スピリッツ,プライム,2608.5,1.85,12.0,-,,4028,12.0,11.0,0.0,7.0,8.0,過熱 (初動ではない),False,False,2026-07-12 14:51
2229,カルビー,プライム,2959.0,-2.02,53.0,07/10,1.0,3598,30.0,11.0,0.0,12.0,2.2,様子見,False,False,2026-07-12 14:51
2264,森永乳業,プライム,1258.0,-2.22,8.0,-,,4061,0.0,0.0,0.0,8.0,-0.1,様子見,False,False,2026-07-12 14:51
2266,六甲バター,プライム,1125.0,0.18,38.0,06/18,17.0,207,12.0,19.0,0.0,7.0,5.0,様子見,False,False,2026-07-12 14:51
2267,ヤクルト本社,プライム,2840.5,0.14,27.0,-,,8200,0.0,15.0,0.0,12.0,3.7,様子見,False,False,2026-07-12 14:51
2269,明治ホールディングス,プライム,3771.0,-1.9,42.0,07/03,6.0,10223,30.0,0.0,0.0,12.0,0.7,様子見,False,False,2026-07-12 14:51
2270,雪印メグミルク,プライム,3665.0,-1.48,29.0,-,,2205,0.0,0.0,20.0,9.0,0.4,収縮中 (監視),False,False,2026-07-12 14:51
2281,プリマハム,プライム,2402.0,-0.5,32.0,-,,1207,0.0,0.0,20.0,12.0,1.8,様子見,False,False,2026-07-12 14:51
2282,日本ハム,プライム,6166.0,-0.87,48.0,06/24,13.0,5804,30.0,6.0,0.0,12.0,1.7,様子見,False,False,2026-07-12 14:51
2288,丸大食品,プライム,2251.0,-1.36,32.0,07/07,4.0,542,0.0,0.0,20.0,12.0,0.6,収縮中 (監視),False,False,2026-07-12 14:51
2292,Ｓ　Ｆｏｏｄｓ,プライム,2740.0,-0.58,58.0,07/03,6.0,868,12.0,11.0,20.0,15.0,3.6,様子見,False,False,2026-07-12 14:51
2294,柿安本店,プライム,2557.0,-0.66,35.0,-,,245,0.0,0.0,20.0,15.0,1.6,様子見,False,False,2026-07-12 14:51
2296,伊藤ハム米久ホールディングス,プライム,4820.0,-1.03,68.0,07/06,5.0,2735,22.0,4.0,20.0,22.0,1.5,初動の可能性,True,False,2026-07-12 14:51
2301,学情,プライム,1625.0,0.49,48.0,06/29,10.0,218,30.0,11.0,0.0,7.0,3.7,様子見,False,False,2026-07-12 14:51
2307,クロスキャット,プライム,1015.0,2.11,10.0,-,,142,12.0,6.0,0.0,7.0,6.8,過熱 (初動ではない),False,False,2026-07-12 14:51
2317,システナ,プライム,422.0,-0.47,12.0,-,,1508,0.0,0.0,0.0,12.0,4.5,様子見,False,False,2026-07-12 14:51
2325,ＮＪＳ,プライム,4525.0,3.55,10.0,-,,431,0.0,10.0,0.0,0.0,-4.0,様子見,False,False,2026-07-12 14:51
2326,デジタルアーツ,プライム,3965.0,1.15,31.6,07/10,1.0,530,30.0,11.0,20.0,18.0,7.4,過熱 (初動ではない),False,False,2026-07-12 14:51
2327,日鉄ソリューションズ,プライム,3775.0,0.99,12.0,-,,6908,17.0,6.0,0.0,7.0,12.1,過熱 (初動ではない),False,False,2026-07-12 14:51
2331,ＡＬＳＯＫ,プライム,1093.5,-1.75,79.0,07/02,7.0,5315,30.0,11.0,20.0,18.0,1.4,初動の可能性,True,True,2026-07-12 14:51
2335,キューブシステム,プライム,1059.0,0.67,18.0,-,,161,0.0,11.0,0.0,7.0,2.7,様子見,False,False,2026-07-12 14:51
2337,いちご,プライム,443.0,0.45,42.0,-,,1749,0.0,0.0,20.0,22.0,1.2,収縮中 (監視),False,False,2026-07-12 14:51
2353,日本駐車場開発,プライム,257.0,-0.39,31.0,06/17,18.0,802,12.0,7.0,0.0,12.0,2.7,様子見,False,False,2026-07-12 14:51
2359,コア,プライム,1990.0,2.05,14.0,-,,286,0.0,0.0,0.0,14.0,-0.1,様子見,False,False,2026-07-12 14:51
2371,カカクコム,プライム,3630.0,-0.14,16.8,-,,7181,0.0,15.0,20.0,7.0,6.5,過熱 (初動ではない),False,False,2026-07-12 14:51
